The	N
barren	C
islands	N
,	N
reefs	C
and	N
coral	N
outcrops	C
are	N
believed	N
to	N
be	N
in	N
rich	N
in	N
oil	N
and	N
gas	N
and	N
the	N
overlapping	C
claims	N
have	N
long	N
been	N
feared	N
as	N
Asia	N
's	N
next	N
flashpoint	C
for	N
armed	N
conflict	C
.	N
	
Both	N
China	N
and	N
the	N
Philippines	N
flexed	C
their	N
muscles	N
on	N
Wednesday	N
.	N
	
Del	N
Rosario	N
said	N
that	N
he	N
warned	N
China	N
's	N
ambassador	C
that	N
if	N
the	N
Philippines	N
is	N
challenged	C
,	N
we	N
are	N
prepared	N
to	N
secure	N
our	N
sovereignty	C
.	N
	
The	N
Philippine	N
navy	N
was	N
sending	N
additional	N
vessels	C
toward	N
the	N
shoal	C
,	N
which	N
lies	N
about	N
200	N
kilometers	N
(	N
124	N
miles	N
)	N
from	N
the	N
nearest	N
Philippine	N
coast	N
,	N
a	N
Philippine	N
navy	N
official	N
told	N
The	N
Associated	N
Press	N
.	N
	
He	N
spoke	N
on	N
condition	N
of	N
anonymity	C
because	N
of	N
a	N
lack	N
of	N
authority	C
to	N
discuss	N
the	N
situation	N
with	N
the	N
media	N
.	N
	
The	N
standoff	C
began	N
Sunday	N
when	N
a	N
Philippine	N
navy	N
surveillance	C
plane	N
spotted	N
eight	N
Chinese	N
fishing	N
vessels	N
anchored	C
in	N
a	N
lagoon	C
at	N
Scarborough	N
,	N
the	N
Philippine	N
Foreign	N
Affairs	N
Department	N
said	N
.	N
	
The	N
market	N
was	N
bracing	C
itself	N
for	N
at	N
least	N
50	N
billion	N
euros	N
in	N
new	N
cash	N
.	N
	
You	N
ca	N
n't	N
put	N
out	N
a	N
number	N
as	N
low	N
as	N
15	N
billion	N
without	N
an	N
explanation	C
,	N
”	N
said	N
a	N
London-based	N
banking	N
analyst	N
who	N
did	N
not	N
want	N
to	N
be	N
named	N
.	N
	
You	N
ca	N
n't	N
put	N
out	N
a	N
number	N
as	N
low	N
as	N
15	N
billion	N
without	N
an	N
explanation	N
,	N
said	N
a	N
London-based	N
banking	N
analyst	C
who	N
did	N
not	N
want	N
to	N
be	N
named	N
.	N
	
Spanish	N
lenders	C
must	N
set	N
aside	C
30	N
billion	N
euros	N
,	N
on	N
top	N
of	N
54	N
billion	N
euros	N
ordered	N
in	N
February	N
,	N
as	N
provisions	C
against	N
loans	N
which	N
are	N
still	N
performing	C
as	N
well	N
as	N
bad	N
ones	N
while	N
defaults	C
rise	N
in	N
an	N
recession	C
which	N
has	N
sent	N
unemployment	C
to	N
24	N
percent	N
.	N
	
The	N
Spanish	N
government	N
source	C
said	N
the	N
30-billion	N
euro	N
provisions	C
would	N
have	N
an	N
impact	C
in	N
capital	C
of	N
about	N
20	N
billion	N
which	N
,	N
added	N
to	N
another	N
estimated	C
20	N
billion	N
euros	N
to	N
rescue	C
systemic	C
lender	N
Bankia	N
SA	N
and	N
other	N
smaller	N
banks	N
would	N
make	N
up	N
the	N
figure	N
investors	C
viewed	N
as	N
necessary	N
.	N
	
Western	N
powers	N
have	N
no	N
appetite	C
for	N
a	N
repeat	N
of	N
the	N
military	N
intervention	C
that	N
helped	N
Libyan	N
rebels	C
topple	C
long-time	N
ruler	C
Moammar	N
Gadhafi	N
last	N
year	N
,	N
and	N
Moscow	N
says	N
arming	C
Assad	N
's	N
opponents	C
would	N
only	N
lead	N
to	N
years	N
of	N
inconclusive	C
bloodshed	C
.	N
	
Fierce	C
clashes	N
between	N
Syrian	N
regime	C
forces	N
and	N
armed	N
rebels	C
in	N
the	N
central	N
city	N
of	N
Rastan	N
on	N
Monday	N
left	N
at	N
least	N
23	N
soldiers	N
dead	N
and	N
dozens	N
wounded	C
,	N
the	N
Syrian	N
Observatory	C
for	N
Human	N
Rights	N
said	N
.	N
	
The	N
Britain-based	N
monitoring	C
group	N
said	N
initial	N
reports	N
indicated	C
that	N
three	N
troop	C
carriers	N
were	N
destroyed	C
in	N
the	N
clashes	C
that	N
began	N
at	N
dawn	C
on	N
the	N
outskirts	C
of	N
the	N
rebel-held	C
city	N
,	N
located	N
in	N
Homs	N
province	C
.	N
	
A	N
lieutenant	C
who	N
had	N
defected	C
was	N
also	N
killed	N
in	N
the	N
clashes	N
.	N
	
Regime	C
forces	N
launched	C
an	N
offensive	C
on	N
Rastan	N
at	N
the	N
weekend	N
but	N
met	N
with	N
sharp	C
resistance	C
from	N
rebels	N
seeking	N
the	N
ouster	C
of	N
the	N
regime	C
of	N
President	N
Bashar	N
al-Assad	N
.	N
	
However	N
,	N
after	N
the	N
trip	N
,	N
presumptive	C
Republican	N
presidential	N
nominee	C
Mitt	N
Romney	N
struck	C
a	N
somewhat	N
somber	C
tone	N
in	N
a	N
press	N
release	N
.	N
	
I	N
am	N
pleased	N
that	N
President	N
Obama	N
has	N
returned	N
to	N
Afghanistan	N
.	N
	
Our	N
troops	N
and	N
the	N
American	N
people	N
deserve	C
to	N
hear	N
from	N
our	N
President	N
about	N
what	N
is	N
at	N
stake	C
in	N
this	N
war	N
.	N
	
Success	N
in	N
Afghanistan	N
is	N
vital	C
to	N
our	N
nation	N
's	N
security	N
.	N
	
It	N
would	N
be	N
a	N
tragedy	C
for	N
Afghanistan	N
and	N
a	N
strategic	N
setback	N
for	N
America	N
if	N
the	N
Taliban	N
returned	N
to	N
power	N
and	N
once	N
again	N
created	N
a	N
sanctuary	N
for	N
terrorists	N
,	N
”	N
Romney	N
said	N
in	N
the	N
release	N
.	N
	
It	N
would	N
be	N
a	N
